FEYE,3,charlie15,0.0,12/30/20
LMND,5,tediousrhombus,0.0,12/30/20
NGG,5,tediousrhombus,0.0,12/30/20
ETSY,4,edwinwong,0.0,12/30/20
MELI,5,edwinwong,0.0,12/30/20
NKE,4,edwinwong,0.0,12/30/20
MNST,4,edwinwong,0.0,12/30/20
GM,2,edwinwong,0.0,12/30/20
AAXN,5,edwinwong,0.0,12/30/20
BA,3,edwinwong,0.0,12/30/20
LMT,3,edwinwong,0.0,12/30/20
NOC,4,edwinwong,0.0,12/30/20
MTZ,5,edwinwong,0.0,12/30/20
LEN,3,edwinwong,0.0,12/30/20
TREX,5,edwinwong,0.0,12/30/20
CSGP,4,edwinwong,0.0,12/30/20
AMT,5,edwinwong,0.0,12/30/20
NEE,4,edwinwong,0.0,12/30/20
REGI,3,edwinwong,0.0,12/30/20
VWDRY,4,edwinwong,0.0,12/30/20
CSIQ,2,edwinwong,0.0,12/30/20
ENPH,4,edwinwong,0.0,12/30/20
FSLR,4,edwinwong,0.0,12/30/20
SEDG,4,edwinwong,0.0,12/30/20
BTG,2,edwinwong,0.0,12/30/20
GOLD,4,edwinwong,0.0,12/30/20
KGC,3,edwinwong,0.0,12/30/20
NEM,5,edwinwong,0.0,12/30/20
IMPUY,0,edwinwong,0.0,12/30/20
LAC,2,edwinwong,0.0,12/30/20
BAC,3,edwinwong,0.0,12/30/20
GS,3,edwinwong,0.0,12/30/20
MS,3,edwinwong,0.0,12/30/20ratings/foolcaps_4,edwinwong,0.0,12/30/20
EHTH,2,edwinwong,0.0,12/30/20
COOP,2,edwinwong,0.0,12/30/20
ECPG,2,edwinwong,0.0,12/30/20
PFSI,3,edwinwong,0.0,12/30/20
PYPL,5,edwinwong,0.0,12/30/20
MA,5,edwinwong,0.0,12/30/20
V,5,edwinwong,0.0,12/30/20
REGN,4,edwinwong,0.0,12/30/20
REX,0,edwinwong,0.0,12/30/20
ABT,4,edwinwong,0.0,12/30/20
BIO,4,edwinwong,0.0,12/30/20
NVCR,5,edwinwong,0.0,12/30/20
DHR,4,edwinwong,0.0,12/30/20
DXCM,5,edwinwong,0.0,12/30/20
FLGT,5,edwinwong,0.0,12/30/20
QDEL,5,edwinwong,0.0,12/30/20
TMO,5,edwinwong,0.0,12/30/20
ABBV,5,edwinwong,0.0,12/30/20
BMY,4,edwinwong,0.0,12/30/20
EBS,5,edwinwong,0.0,12/30/20
HZNP,3,edwinwong,0.0,12/30/20
ANTM,4,edwinwong,0.0,12/30/20
CNC,3,edwinwong,0.0,12/30/20
UNH,4,edwinwong,0.0,12/30/20
TDOC,5,edwinwong,0.0,12/30/20
